Ligand,Score
CNP0145715.2,SKIPPED
CNP0559704.1,SKIPPED
CNP0258081.3,SKIPPED
CNP0582082.1,SKIPPED
CNP0225926.1,SKIPPED
CNP0458009.0,SKIPPED
CNP0117883.1,SKIPPED
CNP0465112.1,FAILED
CNP0463678.2,FAILED
CNP0441866.1,FAILED
CNP0334112.0,SKIPPED
CNP0173379.0,SKIPPED
CNP0570934.2,SKIPPED
CNP0509149.2,SKIPPED
CNP0332695.0,SKIPPED
CNP0307134.1,SKIPPED
CNP0339035.1,SKIPPED
CNP0373324.3,SKIPPED
CNP0106541.0,SKIPPED
CNP0287067.1,SKIPPED
CNP0373324.4,SKIPPED
CNP0213286.2,SKIPPED
CNP0122885.3,SKIPPED
CNP0169909.1,SKIPPED
CNP0432131.1,SKIPPED
CNP0570934.1,SKIPPED
