identifier,Score,BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD
CNP0493471.2,-6.4,1.6127747940357082,,1.1174807729724925,0.0,0.0,10.190284754725273,5.981424029720886,0.0,1.0986122886681098,0
CNP0493499.1,-8.6,1.1467656156782775,1.6094379124341005,1.6902900090631954,1.7320508075688772,2.0794415416798357,10.518756504715675,5.905940583624489,1.8171205928321397,1.0986122886681098,2
CNP0493501.1,-7.3,1.2795184276088507,0.6931471805599453,1.5099083170870673,1.4142135623730951,1.3862943611198906,7.277652834816087,4.414004962442104,2.2239800905693157,,0
CNP0493546.1,-6.7,1.6197784677548055,,1.1141164752040749,0.0,0.0,10.906479714997822,5.798889997648997,0.0,1.0986122886681098,0
CNP0493687.1,-4.4,1.6132818076316189,,1.1134273744532504,0.0,0.0,10.79354902618851,5.886765316883336,0.0,1.0986122886681098,0
CNP0493718.2,-6.9,1.6202077735248146,,1.1173044216802623,0.0,0.0,9.216967478979017,5.451361778496419,0.0,1.0986122886681098,0
CNP0493720.0,-9.2,1.094965872341046,1.791759469228055,1.6691571471357227,2.449489742783178,,12.402151504668597,5.915481699700717,1.8171205928321397,,3
CNP0493735.1,-10.7,1.1571857962074952,1.6094379124341005,1.8072636557640205,2.23606797749979,2.1972245773362196,9.391219392381098,5.798889997648997,1.8171205928321397,,3
CNP0493807.0,-11.5,1.077305930967618,1.6094379124341005,1.6456175690116026,2.0,,11.638371973626295,5.818647867496961,1.8171205928321397,,2
CNP0493828.1,-8.53,1.1446911957252524,1.0986122886681098,1.5305439699644374,1.7320508075688772,0.6931471805599453,9.83800690112178,5.117229946912048,1.8171205928321397,,1
CNP0493845.1,-6.6,1.621560534491228,,1.1125985306428496,0.0,0.0,11.453538732360856,6.0,0.0,1.0986122886681098,0
CNP0493870.1,-7.6,1.2035605541101129,1.3862943611198906,1.7011051009599245,2.0,0.0,9.55637894075894,5.1551367354757724,1.8171205928321397,,2
CNP0494016.1,-9.7,1.069126648972799,1.9459101490553132,1.6441234704219905,1.7320508075688772,2.1972245773362196,12.594946033130787,6.415068659991653,1.8171205928321397,,11
CNP0494035.5,-10.9,1.0744335312761313,1.6094379124341005,1.6739764335716716,2.0,2.1972245773362196,9.480522934528192,5.6040786613107745,1.8171205928321397,,1
