cluster_post,UMAP_0,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11
121,14.832187,0.6968319,1.1453735,5.303914,4.746289,-1.4049858,5.0212455,2.8997042,4.9774594,4.3888655,6.5036445,4.9759555
122,9.686593,-3.106141,1.3131347,5.4033313,-1.8228338,4.2662587,6.211294,3.221475,5.849017,4.1085315,6.945058,4.9434705
123,9.563744,-2.8972812,1.2484913,5.0503635,-2.396033,4.2176595,6.2566404,3.1015499,5.5263286,3.1956036,6.677058,4.8457994
124,13.509846,0.19985572,1.1820276,4.561562,4.780283,-2.6071286,4.6036887,2.6116712,5.070838,4.20532,6.433634,5.208821
125,11.068034,0.8166043,0.9073449,5.6665697,3.6548867,3.8354878,4.4810166,0.3829719,9.874881,3.9107797,11.729725,6.7701316
126,13.239082,-0.054615393,1.2013005,4.1908727,5.326414,-2.962494,4.8196454,2.6987712,4.925815,4.188761,6.724427,5.2008805
127,13.413896,0.09757487,1.2045183,4.535247,5.06031,-2.6785305,4.7543416,2.7604592,4.878692,4.224034,6.621321,5.2311893
128,9.733522,-3.142155,1.2605697,5.4424047,-1.963542,4.3123546,6.2306585,3.2812965,5.2938185,4.3642063,6.21163,5.0918264
129,9.645758,-3.0376048,1.2000707,5.373368,-2.2264285,4.323494,6.2318525,3.3253143,4.7248898,4.1028504,5.7063217,5.147074
130,9.650679,-0.036944013,1.3078562,1.4756188,4.4241357,6.3681674,6.5582128,1.5276815,4.779971,3.2922316,10.31879,2.3775346
131,6.781514,2.9709446,1.0999284,10.124833,6.054942,3.988764,4.667974,3.0730944,5.644579,4.941448,5.1541176,6.6627617
132,9.234544,1.9586346,0.8216396,9.786168,4.7326484,4.8323746,5.234301,3.0772512,3.281467,4.6855435,5.4086647,9.991356
133,9.268307,1.9796656,0.8839293,9.872683,4.6033006,4.8699393,5.174603,3.0105476,3.1137965,4.7871585,5.369516,9.841537
134,12.212217,-0.2455402,1.1720988,5.0783787,4.9356213,11.907337,5.646151,4.2007227,5.645776,4.3265853,5.2704353,4.276231
135,9.613758,-0.30412462,1.2621042,4.6194386,-2.8979886,4.9588356,6.384856,4.1008253,2.7271369,4.823274,6.0683045,4.880329
136,9.87604,-0.24529456,1.1680946,5.161437,4.235659,3.8426328,6.110372,1.2560356,7.1638207,7.0169396,13.921196,3.8387368
137,9.73323,-0.28969613,1.3122845,5.2179613,4.0501876,3.9950242,6.157834,1.427922,7.217396,7.030651,13.690004,3.7693589
138,9.537229,0.0061001293,1.2906845,1.6054991,4.331803,6.220219,6.28186,1.4639716,4.7862515,3.469537,10.252827,2.1923428
139,12.779688,0.08782318,1.0596368,5.0803766,5.0366054,11.900339,5.2807612,3.9643974,5.869355,4.581414,5.438295,4.089558
140,9.814076,4.1513586,0.79173255,7.9719205,4.0675464,6.7023005,2.430705,2.7905784,10.332738,4.2233653,7.774862,5.6864133
141,9.837863,4.135924,0.6624429,8.007807,4.0570745,6.873808,2.3956985,2.6594298,10.245276,4.121638,7.8885365,5.707872
142,9.981547,-1.8303906,1.1837957,5.0625896,-2.6137865,4.7672663,6.120431,3.6263013,3.2125916,4.960544,4.2426224,5.3757377
143,10.112363,0.16238207,1.3398257,4.1721444,5.5564065,4.4635844,2.4693682,3.8487823,11.105297,4.330737,2.406804,5.501683
144,9.9952755,0.5239869,1.2079785,4.6331167,5.8582463,4.3693304,4.9387326,3.8209689,10.173996,4.8719363,-0.16847223,5.36575
145,9.985861,0.4992088,1.1994652,4.650826,5.7574644,4.38906,5.1855526,3.755895,10.180457,4.8866878,-0.27006856,5.3532424
146,9.810626,-2.708755,1.1647768,5.319756,-2.358502,4.486508,6.2089214,3.4325724,4.067118,4.4477577,4.9111495,5.20611
147,10.012959,-2.2694845,1.1949072,5.2161527,-2.4721444,4.701333,6.1577787,3.532539,3.6198297,4.930876,4.398975,5.349764
148,10.0206175,3.8388147,0.9030068,7.4776845,4.0195208,6.8572555,2.5887759,2.6983275,10.066416,4.3052583,7.8442025,6.0950885
149,10.156711,3.7143373,0.9181677,7.352359,4.078256,7.030364,2.7013,2.716308,10.001315,4.3317294,7.7804914,6.21997
150,9.728049,-2.2737892,1.1384178,5.147589,-2.5123394,4.550185,6.2090774,3.5370991,3.6208735,4.2485394,4.7207255,5.1611595
151,13.099228,-0.013256034,1.2961124,4.922425,4.779046,11.793559,5.9522734,3.3675587,3.3002906,4.3587604,5.8067813,4.3933015
152,9.87064,-2.9942784,1.2270706,5.443447,-2.1262865,4.44234,6.2189054,3.3579001,4.6813326,4.661109,5.427818,5.205745
153,9.977595,-2.716812,1.2131941,5.3689256,-2.2796955,4.576172,6.195517,3.4295967,4.185337,4.839102,4.8656116,5.2851977
154,6.736023,2.9450493,1.1201499,10.052313,6.1127253,4.003331,4.6024737,3.1291232,5.709055,4.9154854,5.0633664,6.7801642
155,6.9037395,2.8514793,1.1571136,10.04855,6.064434,4.0035996,4.7718844,3.0656745,5.814032,4.850823,5.17486,6.6732
156,9.422346,0.21657127,1.2321359,1.7755482,4.3029366,6.156484,5.996961,1.3526434,4.7112274,3.5632203,10.29493,1.9565554
157,9.524321,0.086193174,1.2520095,1.6819676,4.3677917,6.26101,6.217465,1.3997198,4.5784497,3.4359012,10.590213,2.0058913
158,9.275237,3.9132566,-0.38778797,4.952551,6.8383245,3.4915347,6.117383,4.612232,2.0350635,5.604984,3.6947699,1.9209163
159,8.773654,2.5064611,0.93285024,9.639777,6.0494623,3.5534623,5.932176,3.10617,5.8629656,3.7239358,6.2210846,8.198
160,12.841004,0.5268295,1.0347471,4.9980493,5.102002,12.173009,5.3581176,3.633056,5.569038,4.617862,5.556075,4.014555
161,12.589399,0.07615853,1.1113663,5.0762725,4.955353,12.061118,5.5539455,3.9619389,5.591877,4.4623685,5.406294,4.103862
162,9.133932,4.1050115,-0.27138317,4.953766,6.6689787,3.513106,5.8917665,4.6906,1.9870857,5.3710284,3.3681085,2.0591388
163,8.942211,4.478381,-0.17559022,5.551875,6.749797,3.4398358,6.151414,4.9234996,1.8716826,5.1579127,2.7547622,1.7212793
164,8.569425,2.4112346,0.99732274,9.3917885,6.4992647,3.3404708,5.944513,2.8967764,5.9910655,3.5179198,6.252469,7.9544835
165,8.475934,2.410153,0.86629856,9.2694025,6.8127747,3.1370168,5.8103786,2.8666754,5.873915,3.3318226,6.361888,7.637336
166,11.314552,0.4282237,1.383125,5.902977,5.3456826,7.494186,2.870703,2.9871478,11.66292,5.0170527,7.71535,4.1750903
167,12.082037,0.36777067,1.2829667,4.7871475,5.0321493,12.449085,6.269441,3.3243773,3.3384159,4.245141,5.578665,4.393856
168,12.516265,0.18655834,1.336869,4.8432426,4.8052654,12.138784,6.206292,3.3774254,3.1702871,4.167023,5.695263,4.3715005
169,9.428057,-1.5387284,1.2055641,4.851311,-2.745792,4.7389336,6.3298335,3.7492867,3.484329,3.0932925,5.551599,4.842691
170,12.366898,0.5303116,1.029673,5.0791907,5.1171646,12.302001,5.4090767,3.7738545,5.7785993,4.5594172,5.4836655,3.9533317
171,9.469897,-1.1193366,1.2727894,4.7886815,-2.818183,4.937773,6.376986,3.880917,3.3918238,3.0945046,5.8653736,4.752361
172,9.537809,-0.7570558,1.3498366,4.788083,-2.8425992,5.0871997,6.399385,3.9625301,3.4271145,3.3715277,6.440834,4.6788316
173,9.41127,-2.119444,1.144351,4.99979,-2.6139321,4.4918284,6.267662,3.5648012,3.7473156,3.2776496,5.3597107,4.963124
174,9.478935,-2.6747172,1.148905,5.2002826,-2.445183,4.3350654,6.233135,3.4024825,4.1923213,3.6474307,5.427864,5.0788155
175,10.0203285,0.6397422,1.2360836,3.8569026,5.8002477,4.207036,2.497462,3.932446,11.343735,4.397189,1.9006602,5.6557226
176,10.141836,0.783941,1.4079359,3.6691473,5.7592807,4.167977,2.5563965,3.9846694,11.394176,4.3131638,1.7901614,5.65489
177,8.567542,1.3345401,1.4720173,10.250827,6.7526712,4.2489867,4.462214,2.9082782,2.8113396,4.495052,4.9136095,3.2647908
178,9.633857,-1.7098023,1.1436456,4.9428864,-2.6601336,4.6702385,6.25094,3.7040627,3.2482722,4.0261264,4.7824516,5.0672774
179,9.598534,-1.0179939,1.1922011,4.738213,-2.8066547,4.8655167,6.326404,3.9324143,2.9025033,4.0778384,5.0751405,4.970426
180,8.4315195,2.4059014,1.4703003,9.928068,6.5638995,4.567001,5.0057592,2.9218798,1.3853072,4.487029,4.8927526,4.553507
181,8.4763775,1.8454301,1.4404571,10.028357,6.3418717,4.5361915,4.9419403,2.8837476,1.9805276,4.535774,5.0743237,4.1524496
182,8.507671,1.5646455,1.6158682,10.064869,6.4598703,4.214525,5.2417994,2.7116141,2.2482383,4.299072,5.2329016,3.7007306
183,9.58309,-0.38728324,1.3158351,4.688536,-2.889585,5.0561075,6.4333205,4.0764856,3.063809,4.309988,6.4873934,4.7422037
184,9.557517,-0.59520435,1.256304,4.6609063,-2.876979,5.0108004,6.4186068,4.0705566,2.897336,4.064661,5.7088246,4.8277025
185,8.936847,1.3053031,1.7436738,9.9881,6.1217155,4.10935,5.5560985,2.7003827,3.3325145,4.076818,5.593074,2.927524
186,8.973313,1.3249104,1.6164534,10.085974,5.9904613,4.1030025,5.5296326,2.648507,2.843241,4.189916,5.562905,3.4028292
187,8.516502,1.3296196,1.6211629,10.093976,6.3645515,4.3799953,5.2291765,2.7543008,2.8123035,4.170001,5.3183823,3.1133606
188,8.5197,1.2555957,1.7348884,10.087621,6.3410397,4.260183,5.302891,2.7635016,3.1626935,4.0801363,5.3445396,2.9313848
189,9.288036,1.9366497,-0.12791984,11.525728,4.71948,5.738005,5.429595,3.5458815,3.915848,4.65752,7.8693376,3.8357203
190,9.675738,0.5515254,1.0316018,4.232737,5.1362844,5.168726,-3.0535316,3.8278124,1.6389155,3.9375124,7.1679244,5.2488804
191,9.827188,-0.7897827,1.1883496,4.706057,-2.8590646,4.8314223,6.1064415,3.8744466,2.5134413,5.1232247,4.576113,5.3197227
