outer_fold,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,inner_rmse
1,1.0,0.03,3,1,500,5,1.0,0.6435595025818216
1,1.0,0.03,3,5,100,1,0.8,0.7153229608364806
1,1.0,0.03,3,5,100,1,0.8,0.7468030966822404
1,1.0,0.03,3,5,100,1,0.8,0.7256091518068563
1,1.0,0.03,3,5,100,1,1.0,0.7143477630413506
1,1.0,0.03,3,5,100,1,1.0,0.7486979496724494
1,1.0,0.03,3,5,100,1,1.0,0.7270232677117288
1,1.0,0.03,3,5,100,5,0.8,0.7166065958678987
1,1.0,0.03,3,5,100,5,0.8,0.7496179973345966
1,1.0,0.03,3,5,100,5,0.8,0.7274017661604802
1,1.0,0.03,3,5,100,5,1.0,0.7178408008575587
1,1.0,0.03,3,5,100,5,1.0,0.7518894605670882
1,1.0,0.03,3,5,100,5,1.0,0.7282196214632152
1,1.0,0.03,3,5,300,1,0.8,0.6350638836958339
1,1.0,0.03,3,5,300,1,0.8,0.6692863737994262
1,1.0,0.03,3,5,300,1,0.8,0.6540190862776917
1,1.0,0.03,3,5,300,1,1.0,0.6375770379346779
1,1.0,0.03,3,5,300,1,1.0,0.6705098044658933
1,1.0,0.03,3,5,300,1,1.0,0.6566115301336106
1,1.0,0.03,3,5,300,5,0.8,0.6359509556310136
1,1.0,0.03,3,5,300,5,0.8,0.6724295046639454
1,1.0,0.03,3,5,300,5,0.8,0.6547733688817062
1,1.0,0.03,3,5,300,5,1.0,0.6384224634016569
1,1.0,0.03,3,5,300,5,1.0,0.6752955763665077
1,1.0,0.03,3,5,300,5,1.0,0.657948043212285
1,1.0,0.03,3,5,500,1,0.8,0.6171233708408514
1,1.0,0.03,3,5,500,1,0.8,0.6445872307552659
1,1.0,0.03,3,5,500,1,0.8,0.6360869382578327
1,1.0,0.03,3,5,500,1,1.0,0.6196670625762561
1,1.0,0.03,3,5,500,1,1.0,0.6499769506288067
1,1.0,0.03,3,5,500,1,1.0,0.6411751496163995
1,1.0,0.03,3,5,500,5,0.8,0.6186350236033639
1,1.0,0.03,3,5,500,5,0.8,0.6485023195819
1,1.0,0.03,3,5,500,5,0.8,0.6361750754305899
1,1.0,0.03,3,5,500,5,1.0,0.6193193311112051
1,1.0,0.03,3,5,500,5,1.0,0.6550077813316763
1,1.0,0.03,3,5,500,5,1.0,0.643376977383507
1,1.0,0.03,6,1,100,1,0.8,0.6287079395513542
1,1.0,0.03,6,1,100,1,0.8,0.6581188929047195
1,1.0,0.03,6,1,100,1,0.8,0.6378333849448333
